Date,GLD,Nifty,usdtoinr
24-01-2022,1849,17149.09961,74.994301
31-01-2022,1802.2,17339.84961,74.643898
07-02-2022,1827.9,17213.59961,75.579597
14-02-2022,1877.1,16842.80078,75.063004
21-02-2022,1912.05,17206.65039,75.068001
28-02-2022,1907.4,16793.90039,76.417999
07-03-2022,2002.6,15863.15039,76.310303
14-03-2022,1969.3,16871.30078,75.981598
21-03-2022,1939,17117.59961,76.276001
28-03-2022,1949.9,17222,75.919098
04-04-2022,1939.7,18053.40039,75.9132
11-04-2022,1955,17674.94922,76.3088
18-04-2022,1993.3,17173.65039,76.441704
25-04-2022,1903,16953.94922,76.588997
02-05-2022,1870.6,17069.09961,76.541801
09-05-2022,1865.9,16301.84961,77.443802
16-05-2022,1820.4,15842.29981,77.421097
23-05-2022,1853.9,16214.7002,77.630203
30-05-2022,1855.4,16661.40039,77.643898
06-06-2022,1843.7,16569.55078,78.148804
13-06-2022,1831.8,15774.40039,77.961403
20-06-2022,1840.55,15350.15039,78.142403
27-06-2022,1824.8,15832.04981,78.962997
04-07-2022,1810.05,15835.34961,79.332397
11-07-2022,1731.7,16216,79.685204
18-07-2022,1710.2,16278.5,79.876503
